,filename,MD5
0,BITSReference5_0.dll,D5FAB0FC5268E828D94AD23ED1066250
1,Bugsnag.dll,5D437BCD5733B03EE1A7736F0E85C404
2,urgette64.exe,CDD19F4CF2EFF551D12FBAF8EBB176F8
3,top Installer.exe,1826079882A367C2538E6519C31A2A66
4,top.exe,44FC67B4DA75C188A2B4BC232ECD1DE5
5,.ApiServices.dll,8CEB0F45CE3FC8D7335A2BA83E422E60
6,.Backend.dll,F76BAE8B9390A93776E029E21C856AEC
7,.Core.dll,250A8993490926BFB88F2C417D7C063C
8,.HttpApi.dll,CCE525979C80534DC74C3EF229B5E464
9,.WPF.dll,A87EFB07599C2B40F9BD7379C8BAEEFE
10,.exe,04B4C45EDA2BFBB8FD727A8AEA6C837E
11,HttpOverStream.Client.dll,F64442F8928566A397B646D7330E0B54
12,HttpOverStream.dll,B282750FC3DECAEBD1E8B05DF9BBC20A
13,HttpOverStream.NamedPipe.dll,DC8D22AD933742C3A830D15008677D62
14,HttpOverStream.Server.Owin.dll,6584F9E96ED256F44E1B934AE58A4130
15,ICSharpCode.SharpZipLib.dll,713DF073875DDCEA40797560240EDB51
16,InstallerCli.exe,F2DE3BB403A9FEB64E95EF4B3FDCA917
17,Microsoft.Owin.dll,DE38880E8BC86BAE2850BBCA28F8E8A8
18,Microsoft.Owin.Hosting.dll,AB252F9A3D6E30D1908E731F55322F70
19,Microsoft.Toolkit.Uwp.Notifications.dll,65B6185037B53FF21CBA076327A8FA4B
20,Microsoft.Virtualization.Client.Common.Types.dll,DE93BEF92566B85E23DB81B1BAC241A8
21,Microsoft.Virtualization.Client.Management.dll,BE56B46DD98FBF2F2C2A665DEEF6CD01
22,Microsoft.Win32.Primitives.dll,76B8D417C2F6416FA81EACC45977CEA2
23,Microsoft.Windows.ComputeVirtualization.dll,DBA579CFF24B76F7C5D288E8CE0F1E73
24,netstandard.dll,0ADF6F32F4D14F9B0BE9AA94F7EFB279
25,Newtonsoft.Json.dll,5AFDA7C7D4F7085E744C2E7599279DB3
26,NLog.dll,5C7236BAAB86A76CE4528821CD65442F
27,Owin.dll,2F784AAB0AF82C96E1E978B46094932D
28,SimCim.Core.dll,79DF6B3907DDF91F6DBA971F2FAA596E
29,SimCim.Root.StandardCimV2.dll,FEC9CF9C856355352DA4632FF04CFD7A
30,SimCim.Root.V2.dll,F5403F9C7C82E2D902BE6A998E65D558
31,SimCim.Root.Virtualization.V2.dll,CCD98051D464825E6DB886A32DA32001
32,System.AppContext.dll,8CC4C7DFEB41B6C227488CE52D1A8E74
33,System.Collections.Concurrent.dll,559C98EB9633C7BA1BC813F8E6E0E9A5
34,System.Collections.dll,1D8AAFECA1EA565B257384D3F64864B0
35,System.Collections.NonGeneric.dll,45FF71114047DBF934C90E17677FA994
36,System.Collections.Specialized.dll,B52C339601CB264F83DF72D802E98687
37,System.ComponentModel.dll,632CC8AD69B76FD9BB5847DE1E1439F7
38,System.ComponentModel.EventBasedAsync.dll,6067ECBAB3C6DDDB6BF7C49C7948CAA8
39,System.ComponentModel.Primitives.dll,2F39655CCFC010E32A7240D9BF5D0852
40,System.ComponentModel.TypeConverter.dll,D1699287934DA769FC31E07F80762511
41,System.Console.dll,EA9376C17EE0148F0503028AD4501A92
42,System.Data.Common.dll,D712A5A82A446086443CE00B610D8A5D
43,System.Diagnostics.Contracts.dll,99373AB10858746AAD424F28B48277F5
44,System.Diagnostics.Debug.dll,8B8C402311D7AB87E588675E736414FD
45,System.Diagnostics.DiagnosticSource.dll,8D9DF432109F1CFDD86723B5F171E3D7
46,System.Diagnostics.FileVersionInfo.dll,0D9A641105098D642567B22101A4DE0B
47,System.Diagnostics.Process.dll,D86B0ACA05321569D9383DC7C4E9E934
48,System.Diagnostics.StackTrace.dll,FA98A0F020248C2BE1DD40C07092F22A
49,System.Diagnostics.TextWriterTraceListener.dll,A964808487E671BB369DBC0E4DC5A947
50,System.Diagnostics.Tools.dll,27C7D752C11C3F43F28EB31968E73E2B
51,System.Diagnostics.TraceSource.dll,37BE4CCE0ED037F8D9A7A3940BD2A2E1
52,System.Diagnostics.Tracing.dll,60F59659DB517C2F4DD4C5C583D43097
53,System.Drawing.Primitives.dll,29B0A1554E54611EBBA7911049F26FD3
54,System.Dynamic.Runtime.dll,C5CADB1409F25B6A1C7A6DD4C2DF236B
55,System.Globalization.Calendars.dll,AC2F4B435DDF0600D7A866F42F3B40D9
56,System.Globalization.dll,AE023BB0BEEE5189A07C7FD4E0CF3FCA
57,System.Globalization.Extensions.dll,C7C93DE0627833900B8379FD181B7351
58,System.IO.Compression.dll,33B8972FA6B00B8922210CA95E5745D1
59,System.IO.Compression.ZipFile.dll,BB1A520F25BB93ACE4DD0A060FBA677D
60,System.IO.dll,809FDBD7422A3E02C89244DC530A3367
61,System.IO.FileSystem.dll,BFCEB4FACA75681137455CD70F8038B6
62,System.IO.FileSystem.DriveInfo.dll,2FCB2158FC41D97E2BB71953664B99B9
63,System.IO.FileSystem.Primitives.dll,51B07204081BDE29A1F84A3B48554186
64,System.IO.FileSystem.Watcher.dll,3772A3A7E55178EC90ECB607ABA28511
65,System.IO.IsolatedStorage.dll,AB8D293BCD7A13E83565B4AFA8438988
66,System.IO.MemoryMappedFiles.dll,34E21101FAF71A27C6819CC051DEBC9D
67,System.IO.Pipes.dll,58A2E5AC0510B9223236B9317C505B58
68,System.IO.UnmanagedMemoryStream.dll,D74405753F829E75E89BBA5EBC296112
69,System.Linq.dll,5E33930FE2E0867CB1F9FABEDDFBD7B1
70,System.Linq.Expressions.dll,3B49BF361F3116DE28176B40845BC199
71,System.Linq.Parallel.dll,8BE0CAA60074176FA1E7E63C0AEB6C01
72,System.Linq.Queryable.dll,E04CDB6229D83768285ACB08D870F23A
73,System.Management.Automation.dll,835E9EDE7E7C774E7A2D56CFDF6E9B17
74,System.Net.Http.dll,665E355CBED5FE5F7BEBC3CB23E68649
75,System.Net.Http.Formatting.dll,B676D5E9828D6010339743F236F54EC4
76,System.Net.IPNetwork.dll,58AB53768A6E18B113EF95F796208C4A
77,System.Net.NameResolution.dll,2EEC710DBAACD32BEDFCA09ECA8DE52D
78,System.Net.NetworkInformation.dll,F39A35095CFD0019D6D4BB8461750BF0
79,System.Net.Ping.dll,2A459C2C395F54352A16DE4AA0E5407F
80,System.Net.Primitives.dll,562F67001889CDBC2531947636418EE5
81,System.Net.Requests.dll,28141960A88365DF6A60B0C6FF831B0B
82,System.Net.Security.dll,8D00682E84D1D773D2160B63C0380BA6
83,System.Net.Sockets.dll,8C9D9F45B85526E491F6555B1566A41C
84,System.Net.WebHeaderCollection.dll,7DA1FEE108A0750F47B70F25FE2CC55A
85,System.Net.WebSockets.Client.dll,E06BAE626965FBDB0BAE5437498B5155
86,System.Net.WebSockets.dll,2E6378FEAEEE2F745417FC025C7850F9
87,System.Numerics.Vectors.dll,AAA2CBF14E06E9D3586D8A4ED455DB33
88,System.ObjectModel.dll,55D9528D161567A19DBB71244B3AE3CE
89,System.Reactive.Core.dll,39DBA19C792581D4B454D58E35878D86
90,System.Reactive.dll,1708B1F6A653E3175F24D699F792E730
91,System.Reactive.Interfaces.dll,B2BC81FACB46CEBF5DAC7939346FF3F6
92,System.Reactive.Linq.dll,131E287D659998AE9D92E07E931A7D6A
93,System.Reflection.dll,1A3DA139180E9FAB380033D8D1FE3995
94,System.Reflection.Extensions.dll,DEFAADD4A92D4D348B0827AB8159D2FE
95,System.Reflection.Primitives.dll,CF318475E6A7A56789ABB0F98C37ABE1
96,System.Resources.Reader.dll,F1CC91D25B52C7504DC5BEAB5D0F498C
97,System.Resources.ResourceManager.dll,9E71DFCE86F14BEEB8F3E9F00D0A472E
98,System.Resources.Writer.dll,05D1B950C470EA8B0AA357F9A59CF264
99,System.Runtime.CompilerServices.Unsafe.dll,D9E308FE5F1AC35CE823964288DA1BA5
100,System.Runtime.CompilerServices.VisualC.dll,9F31B6954FD453F13B5F39DA36F2E8EB
101,System.Runtime.dll,0E35085C130D2D91E5241334BE7EF0DA
102,System.Runtime.Extensions.dll,B0346A4C5FA0FAC135509A0E7D3C4449
103,System.Runtime.Handles.dll,65FBBA7A86B3E175200AE44727AB40E5
104,System.Runtime.InteropServices.dll,D7E74EA95786A02687CE43C356ABDC95
105,System.Runtime.InteropServices.RuntimeInformation.dll,568B53398BFC0E54AAF448B68F5C77C2
106,System.Runtime.Numerics.dll,6CCCA0BA6A7B9CAF8B8D3B0287DBED8B
107,System.Runtime.Serialization.Formatters.dll,A42C32F4E98A9656FC2FED72D30E9380
108,System.Runtime.Serialization.Json.dll,E1E2239979B853157BA75310FEA7E65D
109,System.Runtime.Serialization.Primitives.dll,3373A24450373CAF0CBB756E10097FD4
110,System.Runtime.Serialization.Xml.dll,9087373EEE85190DAF8915E614B1E4BD
111,System.Runtime.WindowsRuntime.dll,870BAA43C2237C9104FA0C4BB72AD712
112,System.Runtime.WindowsRuntime.UI.Xaml.dll,7EA1BAD64B51AA157ECB94451094CEE9
113,System.Security.Claims.dll,99604779C668D9B8EF913854B9A24F9D
114,System.Security.Cryptography.Algorithms.dll,E4A1681E09AEC6EFB00FB2A9355A1296
115,System.Security.Cryptography.Csp.dll,F554762FC38F81CB22D1DC8AB5CD40D5
116,System.Security.Cryptography.Encoding.dll,7AB10B31C5CE290672B319D403751E95
117,System.Security.Cryptography.Primitives.dll,A60084F9988C7907F7092C143C8D3818
118,System.Security.Cryptography.X509Certificates.dll,06D000552ED6785988AE188FC35D1B86
119,System.Security.Principal.dll,6DCD91B6A029794728F4EDEB2BF2E42D
120,System.Security.SecureString.dll,4523F60270149BAD67F6AE63375D2CDB
121,System.Text.Encoding.dll,7F65CCBF58C39F3853BB8DC4137DFD12
122,System.Text.Encoding.Extensions.dll,D40515A84448B91315F956E6D1A6C64B
123,System.Text.RegularExpressions.dll,7D317D88F9860A18ECF7FB90B33995D3
124,System.Threading.dll,11D674CFC81B7102C0BC6FFE58F6AC5E
125,System.Threading.Overlapped.dll,1A890C488CF2ECD406B804E7E3C5B7F0
126,System.Threading.Tasks.dll,0AD301EE2B7282B87DCD0D862EFE14DC
127,System.Threading.Tasks.Extensions.dll,EF26E8A9829D19BF95A11DF63FA94815
128,System.Threading.Tasks.Parallel.dll,9088029E38B2A393F22AFD9E576CE86E
129,System.Threading.Thread.dll,FDB3A743B2DAE5924CBA88A5C865128D
130,System.Threading.ThreadPool.dll,18CE4ECC42FC8D999EF091D812472CF0
131,System.Threading.Timer.dll,824053272B268C577E9ADF17ED398142
132,System.ValueTuple.dll,8C9424E37A28DB7D70E7D52F0DF33CF8
133,System.Web.Http.dll,145EB749E3B061DAB3360B142690FFD6
134,System.Web.Http.Owin.dll,C74A2258152EBFE0805DCFD840BE993E
135,System.Xml.ReaderWriter.dll,090FF56C4FE2EEFF2E16F03099AD71E1
136,System.Xml.XDocument.dll,37E21B63959F243A157534133F85C5AF
137,System.Xml.XmlDocument.dll,328D12AF9613B0F3F25320B85DCCCBF4
138,System.Xml.XmlSerializer.dll,D9F02D9F7DA653F82E75112A2AB99CE6
139,System.Xml.XPath.dll,415E3AB72F17F10D646B3E2C7A76F612
140,System.Xml.XPath.XDocument.dll,A5F541655A9EDC24F4B5184A40E40227
141,frontend\d3dcompiler_47.dll,7641E39B7DA4077084D2AFE7C31032E0
142,frontend\Docker Desktop.exe,B6DD5DDCD0FFDFB05DE40A511894706C
143,frontend\ffmpeg.dll,CA1E9188314B549B2BC414374DE331AD
144,frontend\libEGL.dll,4F9208BAF2A056EC9C131556693FD8F5
145,frontend\libGLESv2.dll,0FFA06F556B856C502B10CAF98714078
146,frontend\vk_swiftshader.dll,F27CED601F5F5B006C80F00CF9AF901C
147,frontend\vulkan-1.dll,A4CF893DBFA0E01AB7B8EBA075FAED86
148,frontend\resources\app.asar.unpacked\node_modules\node-pty\build\Release\winpty-agent.exe,0FB5B3AA8DA113A3B693B8893A7C975C
149,frontend\resources\app.asar.unpacked\node_modules\node-pty\build\Release\winpty.dll,DA1A574A389EF3F7D1B2D53E2AC93A5F
150,frontend\resources\app.asar.unpacked\node_modules\ssh2\util\pagent.exe,463BE565A0879B8925E9BAD0DCE3FF76
151,frontend\swiftshader\libEGL.dll,BD52003CC70F246F3EC1DFAAED1419CF
152,frontend\swiftshader\libGLESv2.dll,EB2D991CC6833C7EB00ADBE32AC9219D
153,urces\com.docker.backend.exe,0B7D88274D1285BFDD5DB20736BC098F
154,urces\com.docker.diagnose.exe,087FE7F26AB7693AC798520C7E7E9CAA
155,urces\com.docker.license.exe,F7C98A744EB486C1B1A0829FA3627F47
156,urces\com.docker.localhost-forwarder.exe,7D07F3B1FB807DD59F1F367377BDE637
157,urces\com.docker.proxy.exe,8E1AF1ED4265979DB7E9C4367FB4CEA6
158,urces\com.docker.wsl-distro-proxy.exe,63695EABF2E5264D21CB6BCB39E42B40
159,urces\docker.exe,052B2D60B3CBA5CB611E4DD55E256346
160,urces\dockerd.exe,A8D0FF4DB87DCBE739BDFA4455F909AE
161,urces\forwarding.dll,93C028931C57F7F9A266DE1D8BB00B82
162,urces\snyk.exe,4D96FD87C44937B09A54EB750175BAA4
163,urces\vpnkit-bridge.exe,95A74425F156C3CB4C80193188DB2972
164,urces\vpnkit.exe,C76906687E0D865F18C2CD4D668E9C65
165,urces\bin\com.docker.cli.exe,7FD26D1A8EFD1FA19623DDE042BC1ECE
166,urces\bin\docker-compose.exe,FA32264807AD5A01EBD09B5BF4B843F0
167,urces\bin\docker-credential-desktop.exe,6E5BDCD493F7215EAA307AE7EE8D083C
168,urces\bin\docker-credential-ecr-login.exe,8D166F20019FDE00050609DDC559245B
169,urces\bin\docker-credential-wincred.exe,8C6890D2C1C99E5F4138E4CCEBC22529
170,urces\bin\hub-tool.exe,DFEEA4E2070C12585A1F6A3A9B80B8D6
171,urces\bin\kubectl.exe,A7CAFCE23A60C7649FC877A798CF5808
172,urces\bin\notary.exe,49C826C0DBF820EB7ADEF116C1B9896D
173,urces\cli-plugins\docker-app.exe,12F6B69682917174B3CDCD38A34A079A
174,urces\cli-plugins\docker-buildx.exe,C8259F3608E7398AD451522FA52F6979
175,urces\cli-plugins\docker-scan.exe,CE66872FB4ACCDF94CC07C001CFCC984
